DepYearMth_,CF% ISY,RASK ISC,RouteGroup
2021-11,135,166.9,ARN-AGH
2021-11,98,117.2,ARN-AGP
2021-11,105,112.2,ARN-ALC
2021-11,83,72.5,ARN-AMS
2021-11,78,82.7,ARN-ATH
2021-11,103,107.7,ARN-BER
2021-11,118,144.4,ARN-BGO
2021-11,93,105.3,ARN-BLL
2021-11,95,100.3,ARN-BRU
2021-11,98,96.2,ARN-CDG
2021-11,75,90.7,ARN-DUB
2021-11,82,90.5,ARN-DUS
2021-11,92,107.1,ARN-EDI
2021-11,62,60.1,ARN-EWR
2021-11,88,87.8,ARN-FAO
2021-11,82,86.6,ARN-FCO
2021-11,74,71.6,ARN-FNC
2021-11,114,116.2,ARN-FRA
2021-11,105,122.1,ARN-GOT
2021-11,104,107.6,ARN-GZP
2021-11,68,78.1,ARN-HAM
2021-11,83,99.7,ARN-HEL
2021-11,112,133.8,ARN-KLR
2021-11,115,170.3,ARN-KRN
2021-11,93,88.6,ARN-LHR
2021-11,95,108.9,ARN-LLA
2021-11,80,78.3,ARN-LPA
2021-11,87,83.5,ARN-MAN
2021-11,64,106.1,ARN-MIA
2021-11,93,108.6,ARN-MIL
2021-11,69,68.4,ARN-MLA
2021-11,118,136.8,ARN-MMX
2021-11,82,79.7,ARN-NCE
2021-11,105,130.5,ARN-OSD
2021-11,94,122.6,ARN-PMI
2021-11,86,85.9,ARN-PRG
2021-11,117,160.1,ARN-RNB
2021-11,113,140.2,ARN-SDL
2021-11,106,123.8,ARN-SFT
2021-11,52,49.7,ARN-SKG
2021-11,72,97.4,ARN-TLL
2021-11,87,85.9,ARN-TRD
2021-11,86,101.4,ARN-UME
2021-11,103,97.4,ARN-VBY
2021-11,49,54.1,ARN-VNO
2021-11,117,112.5,ARN-ZRH
2021-11,83,76.7,B 737 VEST
2021-11,108,115.8,BGO-ALC
2021-11,83,67.2,CPH-AAL
2021-11,93,86.6,CPH-AAR
2021-11,95,104.3,CPH-AGP
2021-11,85,88.2,CPH-AMS
2021-11,94,88.6,CPH-ARN
2021-11,90,96.0,CPH-ATH
2021-11,86,102.4,CPH-BER
2021-11,99,100.5,CPH-BGO
2021-11,79,78.9,CPH-BLQ
2021-11,104,114.3,CPH-BRU
2021-11,92,84.1,CPH-CDG
2021-11,65,58.9,CPH-DUB
2021-11,125,111.0,CPH-DUS
2021-11,69,61.1,CPH-EWR
2021-11,79,85.3,CPH-FAE
2021-11,87,94.6,CPH-FAO
2021-11,103,99.4,CPH-FCO
2021-11,100,81.7,CPH-FRA
2021-11,70,84.4,CPH-GDN
2021-11,80,72.8,CPH-GOT
2021-11,103,98.8,CPH-GVA
2021-11,66,54.4,CPH-GZP
2021-11,74,74.1,CPH-HAM
2021-11,90,105.5,CPH-HEL
2021-11,65,57.9,CPH-IAD
2021-11,60,64.3,CPH-KEF
2021-11,101,106.5,CPH-KRK
2021-11,67,61.7,CPH-LAX
2021-11,97,108.9,CPH-LHR
2021-11,71,94.7,CPH-LPA
2021-11,74,81.5,CPH-MAN
2021-11,57,67.8,CPH-MIA
2021-11,87,102.6,CPH-MIL
2021-11,80,78.6,CPH-MUC
2021-11,100,99.0,CPH-NCE
2021-11,50,42.8,CPH-ORD
2021-11,99,106.4,CPH-OSL
2021-11,110,149.6,CPH-PLQ
2021-11,104,108.1,CPH-PMI
2021-11,44,60.6,CPH-POZ
2021-11,66,222.2,CPH-PVG
2021-11,57,47.7,CPH-SFO
2021-11,75,57.6,CPH-STR
2021-11,107,111.9,CPH-SVG
2021-11,69,94.7,CPH-TFS
2021-11,35,70.3,CPH-TLL
2021-11,89,101.7,CPH-TRD
2021-11,9,12.2,CPH-TYO
2021-11,59,78.6,CPH-VNO
2021-11,91,132.2,CPH-WAW
2021-11,23,30.3,CPH-WRO
2021-11,108,144.0,CPH-ZRH
2021-11,99,89.3,GOT-AGP
2021-11,112,69.6,GOT-ALC
2021-11,91,133.7,GOT-FAO
2021-11,91,114.7,GOT-PMI
2021-11,101,93.9,OSL-AAL
2021-11,70,73.4,OSL-AAR
2021-11,101,104.3,OSL-AES
2021-11,85,93.3,OSL-AGP
2021-11,98,102.0,OSL-ALC
2021-11,97,110.7,OSL-ALF
2021-11,63,56.7,OSL-AMS
2021-11,111,118.0,OSL-ARN
2021-11,80,81.6,OSL-BER
2021-11,109,97.6,OSL-BGO
2021-11,91,99.0,OSL-BLL
2021-11,109,87.5,OSL-BOO
2021-11,68,64.8,OSL-BRU
2021-11,116,107.3,OSL-CDG
2021-11,70,66.1,OSL-DUB
2021-11,63,59.5,OSL-DUS
2021-11,112,75.8,OSL-EVE
2021-11,64,64.9,OSL-EWR
2021-11,94,113.2,OSL-FRA
2021-11,83,88.5,OSL-GZP
2021-11,84,91.7,OSL-HAU
2021-11,61,98.3,OSL-KBP
2021-11,92,88.2,OSL-KKN
2021-11,96,95.9,OSL-KRS
2021-11,87,94.3,OSL-KSU
2021-11,80,75.1,OSL-LHR
2021-11,91,102.7,OSL-LPA
2021-11,88,79.0,OSL-LYR
2021-11,99,105.0,OSL-MAN
2021-11,57,73.0,OSL-MIA
2021-11,98,129.1,OSL-MOL
2021-11,105,101.9,OSL-SVG
2021-11,95,77.3,OSL-TOS
2021-11,101,89.3,OSL-TRD
2021-11,57,53.7,SVG-ABZ
2021-11,112,128.6,SVG-ALC
2021-11,81,76.3,TRD-BOO-TOS
2021-12,105,130.0,ARN-AGH
2021-12,92,112.3,ARN-AGP
2021-12,107,96.4,ARN-ALC
2021-12,81,70.7,ARN-AMS
2021-12,96,91.0,ARN-ATH
2021-12,83,87.2,ARN-BER
2021-12,103,89.9,ARN-BEY
2021-12,80,108.6,ARN-BGO
2021-12,55,59.6,ARN-BLL
2021-12,82,86.6,ARN-BRU
2021-12,85,78.1,ARN-CDG
2021-12,76,99.1,ARN-DUB
2021-12,89,81.4,ARN-DUS
2021-12,64,79.6,ARN-EDI
2021-12,81,70.3,ARN-EWR
2021-12,84,92.4,ARN-FAO
2021-12,96,87.9,ARN-FCO
2021-12,103,142.1,ARN-FNC
2021-12,86,79.4,ARN-FRA
2021-12,86,94.5,ARN-GOT
2021-12,86,136.8,ARN-GVA
2021-12,62,57.9,ARN-HAM
2021-12,70,80.1,ARN-HEL
2021-12,106,113.1,ARN-KLR
2021-12,95,126.4,ARN-KRN
2021-12,56,63.9,ARN-LED
2021-12,56,62.9,ARN-LHR
2021-12,87,90.1,ARN-LLA
2021-12,85,79.9,ARN-LPA
2021-12,69,74.0,ARN-MAN
2021-12,83,84.5,ARN-MIA
2021-12,89,99.7,ARN-MIL
2021-12,74,64.5,ARN-MLA
2021-12,102,113.5,ARN-MMX
2021-12,98,103.1,ARN-MUC
2021-12,81,78.4,ARN-NCE
2021-12,91,71.1,ARN-ORD
2021-12,82,88.5,ARN-OSD
2021-12,90,96.1,ARN-PMI
2021-12,72,77.1,ARN-PRG
2021-12,90,120.1,ARN-RNB
2021-12,96,122.5,ARN-SDL
2021-12,103,114.3,ARN-SFT
2021-12,81,78.7,ARN-SKG
2021-12,72,90.7,ARN-TLL
2021-12,60,64.0,ARN-TRD
2021-12,81,90.5,ARN-UME
2021-12,97,94.7,ARN-VBY
2021-12,62,55.7,ARN-VNO
2021-12,80,96.2,ARN-ZRH
2021-12,68,53.5,B 737 VEST
2021-12,74,51.2,CPH-AAL
2021-12,79,65.8,CPH-AAR
2021-12,82,77.2,CPH-AGP
2021-12,55,44.5,CPH-AMS
2021-12,80,66.0,CPH-ARN
2021-12,86,79.6,CPH-ATH
2021-12,68,76.6,CPH-BER
2021-12,109,94.3,CPH-BEY
2021-12,75,73.9,CPH-BGO
2021-12,74,57.7,CPH-BLQ
2021-12,75,67.2,CPH-BRU
2021-12,74,58.9,CPH-CDG
2021-12,56,52.5,CPH-DUB
2021-12,98,70.4,CPH-DUS
2021-12,80,68.5,CPH-EWR
2021-12,84,81.6,CPH-FAE
2021-12,73,82.9,CPH-FAO
2021-12,89,89.3,CPH-FCO
2021-12,70,60.3,CPH-FRA
2021-12,68,69.7,CPH-GDN
2021-12,93,65.2,CPH-GOT
2021-12,69,75.1,CPH-GVA
2021-12,56,42.6,CPH-HAM
2021-12,73,63.4,CPH-HEL
2021-12,94,74.7,CPH-IAD
2021-12,76,75.6,CPH-KEF
2021-12,80,100.8,CPH-KRK
2021-12,92,76.5,CPH-LAX
2021-12,53,62.9,CPH-LHR
2021-12,76,91.8,CPH-LPA
2021-12,45,50.8,CPH-MAN
2021-12,86,86.5,CPH-MIA
2021-12,95,86.7,CPH-MIL
2021-12,64,54.1,CPH-MUC
2021-12,96,101.2,CPH-NCE
2021-12,78,58.6,CPH-ORD
2021-12,66,59.6,CPH-OSL
2021-12,113,131.7,CPH-PLQ
2021-12,81,92.0,CPH-PMI
2021-12,44,49.8,CPH-POZ
2021-12,78,302.0,CPH-PVG
2021-12,91,73.0,CPH-SFO
2021-12,68,53.1,CPH-STR
2021-12,84,91.7,CPH-SVG
2021-12,42,31.2,CPH-SZG
2021-12,79,98.0,CPH-TFS
2021-12,43,65.2,CPH-TLL
2021-12,70,73.4,CPH-TRD
2021-12,13,15.3,CPH-TYO
2021-12,61,63.6,CPH-VNO
2021-12,74,82.7,CPH-WAW
2021-12,36,36.6,CPH-WRO
2021-12,64,69.8,CPH-ZRH
2021-12,80,83.1,GOT-AGP
2021-12,135,170.1,GOT-LLA
2021-12,73,58.7,OSL-AAL
2021-12,51,47.3,OSL-AAR
2021-12,74,68.8,OSL-AES
2021-12,48,40.9,OSL-AGP
2021-12,81,78.2,OSL-ALC
2021-12,91,101.6,OSL-ALF
2021-12,50,40.5,OSL-AMS
2021-12,74,70.0,OSL-ARN
2021-12,58,60.4,OSL-BER
2021-12,76,53.0,OSL-BGO
2021-12,61,57.9,OSL-BLL
2021-12,81,63.8,OSL-BOO
2021-12,47,44.9,OSL-BRU
2021-12,94,93.7,OSL-CDG
2021-12,56,61.7,OSL-DUB
2021-12,72,61.5,OSL-DUS
2021-12,92,67.4,OSL-EVE
2021-12,91,89.2,OSL-EWR
2021-12,67,75.0,OSL-FRA
2021-12,87,124.6,OSL-GDN
2021-12,53,45.5,OSL-GZP
2021-12,57,59.6,OSL-HAM
2021-12,64,58.4,OSL-HAU
2021-12,80,113.3,OSL-KBP
2021-12,120,129.6,OSL-KEF
2021-12,86,80.4,OSL-KKN
2021-12,74,96.5,OSL-KRK
2021-12,66,56.8,OSL-KRS
2021-12,77,78.9,OSL-KSU
2021-12,46,45.6,OSL-LHR
2021-12,84,88.2,OSL-LPA
2021-12,86,79.2,OSL-LYR
2021-12,50,49.5,OSL-MAN
2021-12,116,115.3,OSL-MIA
2021-12,69,78.9,OSL-MIL
2021-12,75,91.7,OSL-MOL
2021-12,79,97.6,OSL-MUC
2021-12,70,55.4,OSL-SVG
2021-12,84,70.8,OSL-TOS
2021-12,69,51.2,OSL-TRD
2021-12,14,7.5,OSL-WAW
2021-12,81,103.3,OSL-ZRH
2021-12,56,56.8,SVG-ABZ
2021-12,35,40.3,SVG-WAW
2021-12,73,58.7,TRD-BOO-TOS
2022-01,193,241.2,AAL-SCR
2022-01,74,90.5,ARN-AGH
2022-01,106,128.0,ARN-AGP
2022-01,97,100.8,ARN-ALC
2022-01,81,85.3,ARN-AMS
2022-01,85,99.2,ARN-ATH
2022-01,77,64.9,ARN-BCN
2022-01,96,113.4,ARN-BER
2022-01,87,98.9,ARN-BEY
2022-01,70,98.3,ARN-BGO
2022-01,98,96.0,ARN-BRU
2022-01,70,70.6,ARN-CDG
2022-01,59,89.3,ARN-DUB
2022-01,89,70.1,ARN-DUS
2022-01,49,66.9,ARN-EDI
2022-01,65,60.0,ARN-EWR
2022-01,86,144.9,ARN-FAO
2022-01,78,84.8,ARN-FCO
2022-01,101,111.0,ARN-FRA
2022-01,58,63.1,ARN-GOT
2022-01,58,78.4,ARN-GVA
2022-01,76,60.7,ARN-HAM
2022-01,40,41.6,ARN-HEL
2022-01,72,74.0,ARN-KLR
2022-01,88,109.1,ARN-KRN
2022-01,63,93.1,ARN-LED
2022-01,49,54.6,ARN-LHR
2022-01,73,85.6,ARN-LLA
2022-01,86,97.7,ARN-LPA
2022-01,77,89.8,ARN-MAN
2022-01,60,60.8,ARN-MIA
2022-01,66,80.8,ARN-MIL
2022-01,83,76.8,ARN-MLA
2022-01,64,76.2,ARN-MMX
2022-01,63,89.6,ARN-MUC
2022-01,79,91.7,ARN-NCE
2022-01,81,66.2,ARN-ORD
2022-01,61,81.2,ARN-OSD
2022-01,104,129.1,ARN-PMI
2022-01,97,122.7,ARN-PRG
2022-01,53,72.4,ARN-RNB
2022-01,49,58.5,ARN-SDL
2022-01,64,77.4,ARN-SFT
2022-01,62,55.2,ARN-SKG
2022-01,74,109.8,ARN-TLL
2022-01,74,64.4,ARN-TRD
2022-01,59,72.2,ARN-UME
2022-01,79,77.2,ARN-VBY
2022-01,82,75.6,ARN-VNO
2022-01,50,63.2,ARN-ZRH
2022-01,68,50.7,B 737 VEST
2022-01,57,42.9,CPH-AAL
2022-01,91,75.6,CPH-AAR
2022-01,71,69.5,CPH-AGP
2022-01,94,77.4,CPH-ALC
2022-01,71,64.3,CPH-AMS
2022-01,71,62.8,CPH-ARN
2022-01,85,73.8,CPH-ATH
2022-01,66,66.7,CPH-BER
2022-01,64,57.8,CPH-BEY
2022-01,71,81.4,CPH-BGO
2022-01,40,32.5,CPH-BLQ
2022-01,88,87.5,CPH-BRU
2022-01,64,61.2,CPH-CDG
2022-01,38,44.7,CPH-DUB
2022-01,59,36.1,CPH-DUS
2022-01,68,60.7,CPH-EWR
2022-01,140,154.1,CPH-FAE
2022-01,71,73.0,CPH-FAO
2022-01,54,50.9,CPH-FCO
2022-01,66,66.8,CPH-FRA
2022-01,71,85.5,CPH-GDN
2022-01,79,59.5,CPH-GOT
2022-01,67,65.5,CPH-GVA
2022-01,63,50.7,CPH-HAM
2022-01,69,55.0,CPH-HEL
2022-01,75,66.8,CPH-IAD
2022-01,53,52.5,CPH-KEF
2022-01,54,69.9,CPH-KRK
2022-01,79,69.4,CPH-LAX
2022-01,52,66.9,CPH-LHR
2022-01,73,87.6,CPH-LPA
2022-01,43,48.7,CPH-MAN
2022-01,66,80.7,CPH-MIA
2022-01,61,67.8,CPH-MIL
2022-01,59,64.0,CPH-MUC
2022-01,78,82.3,CPH-NCE
2022-01,48,39.0,CPH-ORD
2022-01,66,66.6,CPH-OSL
2022-01,124,183.2,CPH-PLQ
2022-01,76,80.1,CPH-PMI
2022-01,51,60.8,CPH-POZ
2022-01,49,166.8,CPH-PVG
2022-01,81,108.9,CPH-SCR
2022-01,63,51.2,CPH-SFO
2022-01,79,56.6,CPH-STR
2022-01,78,88.9,CPH-SVG
2022-01,85,84.9,CPH-SZG
2022-01,84,97.8,CPH-TFS
2022-01,63,88.8,CPH-TLL
2022-01,57,63.8,CPH-TRD
2022-01,9,12.4,CPH-TYO
2022-01,42,30.7,CPH-VCE
2022-01,55,56.7,CPH-VNO
2022-01,50,52.6,CPH-WAW
2022-01,50,52.6,CPH-WRO
2022-01,63,76.2,CPH-ZRH
2022-01,86,76.3,GOT-AGP
2022-01,175,246.8,GOT-LLA
2022-01,119,100.5,OSL-AAL
2022-01,148,117.6,OSL-AAR
2022-01,69,66.8,OSL-AES
2022-01,54,55.2,OSL-AGP
2022-01,75,79.8,OSL-ALC
2022-01,73,71.3,OSL-ALF
2022-01,50,45.8,OSL-AMS
2022-01,57,58.1,OSL-ARN
2022-01,50,49.5,OSL-BER
2022-01,94,90.0,OSL-BGO
2022-01,68,55.3,OSL-BLL
2022-01,91,76.9,OSL-BOO
2022-01,58,48.8,OSL-BRU
2022-01,68,71.0,OSL-CDG
2022-01,85,105.2,OSL-DUB
2022-01,45,39.3,OSL-DUS
2022-01,98,74.7,OSL-EVE
2022-01,67,71.0,OSL-EWR
2022-01,87,96.9,OSL-FRA
2022-01,18,18.7,OSL-GDN
2022-01,93,177.8,OSL-GZP
2022-01,42,47.6,OSL-HAM
2022-01,66,69.1,OSL-HAU
2022-01,55,63.1,OSL-KBP
2022-01,106,126.4,OSL-KEF
